Trial,Parameters,Value
13,"{'learning_rate': 0.009474412078270015, 'weight_decay': 0.0009180027427815561, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.0958705357142857
14,"{'learning_rate': 0.0008551359553127198, 'weight_decay': 6.195037504293779e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19789540816326529
15,"{'learning_rate': 6.63234345975688e-05, 'weight_decay': 8.560949240516317e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.01237842793367347
16,"{'learning_rate': 0.004808857120866888, 'weight_decay': 2.039227594075777e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16337093431122449
17,"{'learning_rate': 0.0009838984189166286, 'weight_decay': 0.0005357808522380311, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19361248405612247
18,"{'learning_rate': 0.02446140099169199, 'weight_decay': 9.159758891165791e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.10073142538265305
19,"{'learning_rate': 8.28668958560414e-05, 'weight_decay': 0.00047902346622074454, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1428252551020408
20,"{'learning_rate': 0.0009242327876514748, 'weight_decay': 0.00017066766102647731, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1988799426020408
21,"{'learning_rate': 0.0010402151357021682, 'weight_decay': 0.00016263860124869506, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.20032286352040818
22,"{'learning_rate': 0.0008746166428164654, 'weight_decay': 0.00014838294988213743, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19470463966836735
23,"{'learning_rate': 0.0022303995124470653, 'weight_decay': 6.992838624819217e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1813934948979592
24,"{'learning_rate': 0.0007619683358452203, 'weight_decay': 0.00013886767152925837, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19806680484693878
25,"{'learning_rate': 0.00015166259141244414, 'weight_decay': 0.000253417632310049, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16098732461734694
26,"{'learning_rate': 0.005946741057167261, 'weight_decay': 0.00015037131557815494, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.14088608099489797
27,"{'learning_rate': 0.001813910952731795, 'weight_decay': 0.0001328565698327328, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1969646843112245
28,"{'learning_rate': 0.0005542154007638567, 'weight_decay': 0.00023516999210198582, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.02183514030612245
29,"{'learning_rate': 0.0026430017677909483, 'weight_decay': 0.0003292136854556197, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1761977838010204
30,"{'learning_rate': 0.01648306704915537, 'weight_decay': 0.00019220700208757158, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.07367865114795918
31,"{'learning_rate': 0.0008361986557775809, 'weight_decay': 6.380446923277079e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19596619897959183
32,"{'learning_rate': 0.0014971374690094857, 'weight_decay': 0.00011857818694229652, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19518295599489796
33,"{'learning_rate': 0.0036666297714193913, 'weight_decay': 2.953425729766875e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1634506536989796
34,"{'learning_rate': 0.0001360862961815185, 'weight_decay': 0.00032995836732137166, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1556082589285714
35,"{'learning_rate': 0.0005873133257191745, 'weight_decay': 8.046989732192817e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19389947385204082
36,"{'learning_rate': 0.00029513152612124544, 'weight_decay': 5.9485932808382603e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.1752052774234694
37,"{'learning_rate': 0.0016438135961362715, 'weight_decay': 3.5477382723145316e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.2016143176020408
38,"{'learning_rate': 0.0016093593581934245, 'weight_decay': 1.122983172500159e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.03846460459183674
39,"{'learning_rate': 2.2059465483472368e-05, 'weight_decay': 4.604859559584372e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.10709502551020408
40,"{'learning_rate': 0.00418641959502169, 'weight_decay': 3.1133794594561286e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16089564732142858
41,"{'learning_rate': 0.0012273639904286989, 'weight_decay': 1.6524790128985243e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19832389987244897
42,"{'learning_rate': 0.0015107188055030623, 'weight_decay': 2.1629503301441657e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.20045838647959183
43,"{'learning_rate': 0.001527307563162367, 'weight_decay': 1.655698031171533e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19513911033163264
44,"{'learning_rate': 0.0003450165791573121, 'weight_decay': 1.6053385289629608e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18595344387755103
45,"{'learning_rate': 0.006067239551931182, 'weight_decay': 3.067012862340237e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.13218271683673471
46,"{'learning_rate': 0.0027969951223255764, 'weight_decay': 1.5451033968204512e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17681760204081634
47,"{'learning_rate': 0.0013165791340863544, 'weight_decay': 2.295230157126789e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.19673748405612246
48,"{'learning_rate': 0.00020331806017931422, 'weight_decay': 1.3484071455457948e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1677295918367347
49,"{'learning_rate': 0.00046446386238930507, 'weight_decay': 3.7634400356369136e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.017912946428571427
