Trial,Parameters,Value
13,"{'learning_rate': 0.003538211804222221, 'weight_decay': 0.000983607445933905, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18826729910714285
14,"{'learning_rate': 0.0026708892817155464, 'weight_decay': 0.0004885780631673022, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17929089604591836
15,"{'learning_rate': 0.0008246570127983771, 'weight_decay': 7.108390240616975e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.14766820790816326
16,"{'learning_rate': 0.0019339984808200744, 'weight_decay': 0.00048440948860559174, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18021564094387754
17,"{'learning_rate': 0.011016635466444252, 'weight_decay': 0.0005072299451309885, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.15970782844387754
18,"{'learning_rate': 0.0003246794015044175, 'weight_decay': 8.742281570321879e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.12116350446428573
19,"{'learning_rate': 0.008783834794388391, 'weight_decay': 0.0007186458544939601, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.02281170280612245
20,"{'learning_rate': 0.0010332885678172735, 'weight_decay': 0.0003440685942012096, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.15454998405612247
21,"{'learning_rate': 0.0047266566368666975, 'weight_decay': 0.0009953427793935102, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.183316725127551
22,"{'learning_rate': 0.0019544480198825137, 'weight_decay': 0.0006653651582209036, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18214485012755102
23,"{'learning_rate': 0.006392297193571804, 'weight_decay': 0.0007055098343717076, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17645089285714285
24,"{'learning_rate': 0.0009155594103513357, 'weight_decay': 0.00037792765925555197, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1528659119897959
