Trial,Parameters,Value
16,"{'learning_rate': 0.00021720744880981274, 'weight_decay': 0.0009901989761577146, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.10947464923469388
17,"{'learning_rate': 1.0459188609513779e-05, 'weight_decay': 7.680422374419385e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.04756656568877551
18,"{'learning_rate': 0.017895119295404244, 'weight_decay': 3.569545979149772e-05, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.07228156887755102
19,"{'learning_rate': 0.0015887652594108986, 'weight_decay': 0.0002191853505940276, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.183284837372449
20,"{'learning_rate': 0.0002255061232736453, 'weight_decay': 0.00018277244873982163, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.11263751594387754
21,"{'learning_rate': 0.00169315673567859, 'weight_decay': 0.00034406902687564707, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1767219387755102
22,"{'learning_rate': 0.0014080983912597748, 'weight_decay': 0.00023807364588973376, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16795479910714287
23,"{'learning_rate': 0.0029723151670420014, 'weight_decay': 0.0004459247803138467, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1754364636479592
24,"{'learning_rate': 0.0004693012967893853, 'weight_decay': 0.00013171958785474115, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.13839883609693876
25,"{'learning_rate': 0.003907771126290357, 'weight_decay': 0.00028808264608370883, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.00887874681122449
26,"{'learning_rate': 0.0009618985660664846, 'weight_decay': 0.0006144231270493096, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.17126713966836735
27,"{'learning_rate': 0.01263542060524259, 'weight_decay': 9.776020278669923e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.07115353954081632
28,"{'learning_rate': 0.028255865611429582, 'weight_decay': 0.00016948921859079373, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.0261539381377551
29,"{'learning_rate': 0.002780971506606425, 'weight_decay': 0.000120798903110739, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.03659319196428572
30,"{'learning_rate': 0.00037165498478183677, 'weight_decay': 0.0008080184783739793, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1251873405612245
31,"{'learning_rate': 0.001510415674127224, 'weight_decay': 0.00033645752616407896, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16816605548469388
32,"{'learning_rate': 0.0014665384504847056, 'weight_decay': 0.00044373602990370036, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1770766900510204
33,"{'learning_rate': 0.0008940096093729879, 'weight_decay': 0.000523657891978278, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1595344387755102
34,"{'learning_rate': 0.005370078183145779, 'weight_decay': 0.00021194094558423085, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1592434630102041
35,"{'learning_rate': 0.00011005062251837075, 'weight_decay': 1.2780990947625195e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.11090959821428573
36,"{'learning_rate': 0.06281504988023832, 'weight_decay': 0.00025903194518383843, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.009825414540816327
37,"{'learning_rate': 0.0021390401735942415, 'weight_decay': 0.00015805679428248305, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16896125637755102
38,"{'learning_rate': 0.008163305665426846, 'weight_decay': 0.0004410351357454358, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.14358258928571427
39,"{'learning_rate': 0.004261711526487929, 'weight_decay': 9.24913790076455e-05, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1570491868622449
